GlaThiDa_ID,SURVEY_FREQUENCY,SURVEY_METHOD,MAXIMUM_THICKNESS
1,NaN,GPRt,220
2,NaN,GPRt,175
3,NaN,GPRt,250
4,NaN,DRIh,195
5,NaN,,NaN
6,5,GPRt,111
7,5,GPRt,38
8,NaN,,NaN
9,5,GPRt,NaN
10,5,GPRt,215
11,5,GPRt,25
12,5,GPRt,88
13,5,GPRt,91
14,5,GPRt,59
15,5,GPRt,110
16,5,GPRt,185
17,5,GPRt,65
18,5,GPRt,76
19,5,GPRt,NaN
20,5,GPRt,67
21,5,GPRt,73
22,5,GPRt,133
23,5,GPRt,50
24,5,GPRt,38
25,5,GPRt,49
26,5,GPRt,73
27,5,GPRt,61
28,5,GPRt,146
29,5,GPRt,38
30,5,GPRt,88
31,5,GPRt,98
32,5,GPRt,62
33,100,GPRt,107
34,NaN,SEI,200
35,NaN,GPRa,NaN
36,NaN,GPRa,NaN
37,NaN,GPRa,NaN
38,NaN,GPRa,NaN
39,NaN,GPRt,NaN
40,NaN,GPRt,NaN
41,NaN,GPRt,NaN
42,NaN,GPRt,NaN
43,440,GPRa,NaN
44,440,GPRa,NaN
45,NaN,,900
46,440,GPRt,NaN
47,440,GPRa,NaN
48,NaN,SEI,116
49,NaN,SEI,139
50,440,GPRa,NaN
51,440,GPRa,NaN
52,440,GPRa,NaN
53,440,GPRa,NaN
54,440,GPRa,NaN
55,440,GPRa,NaN
56,440,GPRa,NaN
57,440,GPRa,NaN
58,440,GPRa,NaN
59,440,GPRa,NaN
60,440,GPRa,NaN
61,NaN,,NaN
62,440,GPRa,NaN
63,440,GPRa,NaN
64,440,GPRa,NaN
65,440,GPRa,NaN
66,440,GPRa,NaN
67,440,GPRa,NaN
68,440,GPRa,NaN
69,440,GPRa,NaN
70,440,GPRa,NaN
71,440,GPRa,NaN
72,440,GPRa,NaN
73,440,GPRa,NaN
74,440,GPRa,NaN
75,440,GPRa,NaN
76,440,GPRa,NaN
77,440,GPRa,NaN
78,440,GPRa,NaN
79,440,GPRa,NaN
80,440,GPRa,NaN
81,440,GPRa,NaN
82,440,GPRa,NaN
83,440,GPRa,NaN
84,440,GPRa,NaN
85,440,GPRa,NaN
86,440,GPRa,NaN
87,440,GPRa,NaN
88,440,GPRa,NaN
89,440,GPRa,NaN
90,440,GPRa,NaN
91,440,GPRt,NaN
92,440,GPRt,NaN
93,NaN,SEI,NaN
94,NaN,SEI,NaN
95,NaN,SEI,NaN
96,NaN,SEI,200
97,NaN,SEI,80
98,NaN,SEI,NaN
99,NaN,SEI,NaN
100,NaN,SEI,92
101,NaN,SEI,290
102,NaN,SEI,NaN
103,NaN,SEI,NaN
104,NaN,SEI,30
105,NaN,SEI,NaN
106,NaN,SEI,NaN
107,NaN,SEI,NaN
108,NaN,SEI,NaN
109,620,GPRa,150
110,620,GPRa,350
111,620,GPRa,140
112,620,GPRa,145
113,620,GPRa,135
114,620,GPRa,95
115,620,GPRa,120
116,620,GPRa,110
117,620,GPRa,110
118,620,GPRa,150
119,620,GPRa,120
120,620,GPRa,150
121,620,GPRa,125
122,620,GPRa,130
123,620,GPRa,175
124,620,GPRa,115
125,620,GPRa,210
126,620,GPRa,185
127,620,GPRa,165
128,620,GPRa,195
129,620,GPRa,320
130,620,GPRa,145
131,620,GPRa,500
132,620,GPRa,110
133,620,GPRa,165
134,620,GPRa,210
135,620,GPRa,310
136,620,GPRa,100
137,620,GPRa,330
138,620,GPRa,165
139,620,GPRa,165
140,620,GPRa,540
141,620,GPRa,120
142,620,GPRa,385
143,620,GPRa,165
144,620,GPRa,120
145,620,GPRa,315
146,620,GPRa,430
147,620,GPRa,140
148,620,GPRa,205
149,620,GPRa,125
150,620,GPRa,430
151,620,GPRa,165
152,620,GPRa,320
153,620,GPRa,330
154,620,GPRa,150
155,620,GPRa,165
156,620,GPRa,210
157,620,GPRa,260
158,620,GPRa,145
159,620,GPRa,180
160,620,GPRa,350
161,620,GPRa,330
162,620,GPRa,350
163,620,GPRa,120
164,620,GPRa,215
165,620,GPRt,120
166,NaN,SEI,576
167,NaN,SEI,375
168,NaN,GPRa,450
169,NaN,GPRa,310
170,NaN,GPRa,310
171,NaN,GPRa,185
172,NaN,GPRa,383
173,NaN,GPRa,290
174,NaN,GPRa,281
175,NaN,GPRa,310
176,NaN,GPRa,102
177,NaN,GPRa,312
178,NaN,GPRa,240
179,NaN,GPRa,298
180,NaN,GPRa,280
181,NaN,GPRa,225
182,NaN,GPRa,210
183,NaN,GPRa,185
184,NaN,GPRa,250
185,NaN,GPRa,238
186,NaN,GPRa,215
187,NaN,GPRa,200
188,NaN,GPRa,145
189,NaN,GPRa,274
190,NaN,GPRa,140
191,NaN,GPRa,210
192,NaN,GPRa,101
193,NaN,GPRa,250
194,NaN,,280
195,NaN,,300
196,NaN,DRIm,100
197,NaN,,NaN
198,NaN,,NaN
199,NaN,,250
200,NaN,GPRt,172
201,NaN,SEI,1050
202,NaN,SEI,603
203,35,GPRt,NaN
204,840,GPRa,200
206,NaN,,NaN
207,NaN,,NaN
208,NaN,,NaN
